x	y	z
2.600000	5.300000	169.459677
2.600000	5.500000	175.854382
2.600000	5.700000	182.249087
2.600000	5.900000	188.643792
2.600000	6.100000	195.038497
2.600000	6.300000	201.433201
2.600000	6.500000	207.827906
2.600000	6.700000	214.222611
2.600000	6.900000	220.617316
2.600000	7.100000	227.012021
2.600000	7.300000	233.406725
2.600000	7.500000	239.801430
2.600000	7.700000	246.196135
2.600000	7.900000	252.590840
2.800000	0.500000	17.216513
2.800000	0.700000	24.103118
2.800000	0.900000	30.989723
2.800000	1.100000	37.876328
2.800000	1.300000	44.762934
2.800000	1.500000	51.649539
2.800000	1.700000	58.536144
2.800000	1.900000	65.422749
2.800000	2.100000	72.309354
2.800000	2.300000	79.195959
2.800000	2.500000	86.082565
2.800000	2.700000	92.969170
2.800000	2.900000	99.855775
2.800000	3.100000	106.742380
2.800000	3.300000	113.628985
2.800000	3.500000	120.515591
2.800000	3.700000	127.402196
2.800000	3.900000	134.288801
2.800000	4.100000	141.175406
2.800000	4.300000	148.062011
2.800000	4.500000	154.948616
2.800000	4.700000	161.835222
2.800000	4.900000	168.721827
2.800000	5.100000	175.608432
2.800000	5.300000	182.495037
2.800000	5.500000	189.381642
2.800000	5.700000	196.268247
2.800000	5.900000	203.154853
2.800000	6.100000	210.041458
2.800000	6.300000	216.928063
2.800000	6.500000	223.814668
2.800000	6.700000	230.701273
2.800000	6.900000	237.587878
2.800000	7.100000	244.474484
2.800000	7.300000	251.361089
2.800000	7.500000	258.247694
2.800000	7.700000	265.134299
2.800000	7.900000	272.020904
3.000000	0.500000	18.446264
3.000000	0.700000	25.824769
3.000000	0.900000	33.203275
3.000000	1.100000	40.581780
3.000000	1.300000	47.960286
3.000000	1.500000	55.338792
3.000000	1.700000	62.717297
3.000000	1.900000	70.095803
3.000000	2.100000	77.474308
3.000000	2.300000	84.852814
3.000000	2.500000	92.231319
3.000000	2.700000	99.609825
3.000000	2.900000	106.988330
3.000000	3.100000	114.366836
3.000000	3.300000	121.745341
3.000000	3.500000	129.123847
3.000000	3.700000	136.502353
3.000000	3.900000	143.880858
3.000000	4.100000	151.259364
3.000000	4.300000	158.637869
3.000000	4.500000	166.016375
3.000000	4.700000	173.394880
3.000000	4.900000	180.773386
3.000000	5.100000	188.151891
3.000000	5.300000	195.530397
3.000000	5.500000	202.908902
3.000000	5.700000	210.287408
3.000000	5.900000	217.665914
3.000000	6.100000	225.044419
3.000000	6.300000	232.422925
3.000000	6.500000	239.801430
3.000000	6.700000	247.179936
3.000000	6.900000	254.558441
3.000000	7.100000	261.936947
3.000000	7.300000	269.315452
3.000000	7.500000	276.693958
3.000000	7.700000	284.072463
3.000000	7.900000	291.450969
3.200000	0.500000	19.676015
3.200000	0.700000	27.546421
3.200000	0.900000	35.416827
3.200000	1.100000	43.287233
3.200000	1.300000	51.157638
3.200000	1.500000	59.028044
3.200000	1.700000	66.898450
3.200000	1.900000	74.768856
3.200000	2.100000	82.639262
3.200000	2.300000	90.509668
3.200000	2.500000	98.380074
3.200000	2.700000	106.250480
3.200000	2.900000	114.120886
3.200000	3.100000	121.991292
3.200000	3.300000	129.861698
3.200000	3.500000	137.732103
3.200000	3.700000	145.602509
3.200000	3.900000	153.472915
3.200000	4.100000	161.343321
3.200000	4.300000	169.213727
3.200000	4.500000	177.084133
3.200000	4.700000	184.954539
3.200000	4.900000	192.824945
3.200000	5.100000	200.695351
3.200000	5.300000	208.565757
3.200000	5.500000	216.436163
3.200000	5.700000	224.306569
3.200000	5.900000	232.176974
3.200000	6.100000	240.047380
3.200000	6.300000	247.917786
3.200000	6.500000	255.788192
3.200000	6.700000	263.658598
3.200000	6.900000	271.529004
3.200000	7.100000	279.399410
3.200000	7.300000	287.269816
3.200000	7.500000	295.140222
3.200000	7.700000	303.010628
3.200000	7.900000	310.881034
3.400000	0.500000	20.905766
3.400000	0.700000	29.268072
3.400000	0.900000	37.630378
3.400000	1.100000	45.992685
3.400000	1.300000	54.354991
3.400000	1.500000	62.717297
3.400000	1.700000	71.079603
3.400000	1.900000	79.441910
3.400000	2.100000	87.804216
3.400000	2.300000	96.166522
3.400000	2.500000	104.528829
3.400000	2.700000	112.891135
3.400000	2.900000	121.253441
3.400000	3.100000	129.615747
3.400000	3.300000	137.978054
3.400000	3.500000	146.340360
3.400000	3.700000	154.702666
3.400000	3.900000	163.064972
3.400000	4.100000	171.427279
3.400000	4.300000	179.789585
3.400000	4.500000	188.151891
3.400000	4.700000	196.514198
3.400000	4.900000	204.876504
3.400000	5.100000	213.238810
3.400000	5.300000	221.601116
3.400000	5.500000	229.963423
3.400000	5.700000	238.325729
3.400000	5.900000	246.688035
3.400000	6.100000	255.050342
3.400000	6.300000	263.412648
3.400000	6.500000	271.774954
3.400000	6.700000	280.137260
3.400000	6.900000	288.499567
3.400000	7.100000	296.861873
3.400000	7.300000	305.224179
3.400000	7.500000	313.586486
3.400000	7.700000	321.948792
3.400000	7.900000	330.311098
3.600000	0.500000	22.135517
3.600000	0.700000	30.989723
3.600000	0.900000	39.843930
3.600000	1.100000	48.698137
3.600000	1.300000	57.552343
3.600000	1.500000	66.406550
3.600000	1.700000	75.260757
3.600000	1.900000	84.114963
3.600000	2.100000	92.969170
3.600000	2.300000	101.823376
3.600000	2.500000	110.677583
3.600000	2.700000	119.531790
3.600000	2.900000	128.385996
3.600000	3.100000	137.240203
3.600000	3.300000	146.094410
3.600000	3.500000	154.948616
3.600000	3.700000	163.802823
3.600000	3.900000	172.657030
3.600000	4.100000	181.511236
3.600000	4.300000	190.365443
3.600000	4.500000	199.219650
3.600000	4.700000	208.073856
3.600000	4.900000	216.928063
3.600000	5.100000	225.782270
3.600000	5.300000	234.636476
3.600000	5.500000	243.490683
3.600000	5.700000	252.344890
3.600000	5.900000	261.199096
3.600000	6.100000	270.053303
3.600000	6.300000	278.907510
3.600000	6.500000	287.761716
3.600000	6.700000	296.615923
3.600000	6.900000	305.470129
3.600000	7.100000	314.324336
3.600000	7.300000	323.178543
3.600000	7.500000	332.032749
3.600000	7.700000	340.886956
3.600000	7.900000	349.741163
3.800000	0.500000	23.365268
3.800000	0.700000	32.711375
3.800000	0.900000	42.057482
3.800000	1.100000	51.403589
3.800000	1.300000	60.749696
3.800000	1.500000	70.095803
3.800000	1.700000	79.441910
3.800000	1.900000	88.788017
3.800000	2.100000	98.134124
3.800000	2.300000	107.480231
3.800000	2.500000	116.826338
3.800000	2.700000	126.172445
3.800000	2.900000	135.518552
3.800000	3.100000	144.864659
3.800000	3.300000	154.210766
3.800000	3.500000	163.556873
3.800000	3.700000	172.902980
3.800000	3.900000	182.249087
3.800000	4.100000	191.595194
3.800000	4.300000	200.941301
3.800000	4.500000	210.287408
3.800000	4.700000	219.633515
3.800000	4.900000	228.979622
3.800000	5.100000	238.325729
3.800000	5.300000	247.671836
3.800000	5.500000	257.017943
3.800000	5.700000	266.364050
3.800000	5.900000	275.710157
3.800000	6.100000	285.056264
3.800000	6.300000	294.402371
3.800000	6.500000	303.748478
3.800000	6.700000	313.094585
3.800000	6.900000	322.440692
3.800000	7.100000	331.786799
3.800000	7.300000	341.132906
3.800000	7.500000	350.479013
3.800000	7.700000	359.825120
3.800000	7.900000	369.171227
4.000000	0.500000	24.595018
4.000000	0.700000	34.433026
4.000000	0.900000	44.271033
4.000000	1.100000	54.109041
4.000000	1.300000	63.947048
4.000000	1.500000	73.785055
4.000000	1.700000	83.623063
4.000000	1.900000	93.461070
4.000000	2.100000	103.299078
4.000000	2.300000	113.137085
4.000000	2.500000	122.975092
4.000000	2.700000	132.813100
4.000000	2.900000	142.651107
4.000000	3.100000	152.489115
4.000000	3.300000	162.327122
4.000000	3.500000	172.165129
4.000000	3.700000	182.003137
4.000000	3.900000	191.841144
4.000000	4.100000	201.679152
4.000000	4.300000	211.517159
4.000000	4.500000	221.355166
4.000000	4.700000	231.193174
4.000000	4.900000	241.031181
4.000000	5.100000	250.869188
4.000000	5.300000	260.707196
4.000000	5.500000	270.545203
4.000000	5.700000	280.383211
4.000000	5.900000	290.221218
4.000000	6.100000	300.059225
4.000000	6.300000	309.897233
4.000000	6.500000	319.735240
4.000000	6.700000	329.573248
4.000000	6.900000	339.411255
4.000000	7.100000	349.249262
4.000000	7.300000	359.087270
4.000000	7.500000	368.925277
4.000000	7.700000	378.763285
4.000000	7.900000	388.601292
4.200000	0.500000	25.824769
4.200000	0.700000	36.154677
4.200000	0.900000	46.484585
4.200000	1.100000	56.814493
4.200000	1.300000	67.144400
4.200000	1.500000	77.474308
4.200000	1.700000	87.804216
4.200000	1.900000	98.134124
4.200000	2.100000	108.464031
4.200000	2.300000	118.793939
4.200000	2.500000	129.123847
4.200000	2.700000	139.453755
4.200000	2.900000	149.783663
4.200000	3.100000	160.113570
4.200000	3.300000	170.443478
4.200000	3.500000	180.773386
4.200000	3.700000	191.103294
4.200000	3.900000	201.433201
4.200000	4.100000	211.763109
4.200000	4.300000	222.093017
4.200000	4.500000	232.422925
4.200000	4.700000	242.752832
4.200000	4.900000	253.082740
4.200000	5.100000	263.412648
4.200000	5.300000	273.742556
4.200000	5.500000	284.072463
4.200000	5.700000	294.402371
4.200000	5.900000	304.732279
4.200000	6.100000	315.062187
4.200000	6.300000	325.392094
4.200000	6.500000	335.722002
4.200000	6.700000	346.051910
4.200000	6.900000	356.381818
4.200000	7.100000	366.711725
4.200000	7.300000	377.041633
4.200000	7.500000	387.371541
4.200000	7.700000	397.701449
4.200000	7.900000	408.031357
4.400000	0.500000	27.054520
4.400000	0.700000	37.876328
4.400000	0.900000	48.698137
4.400000	1.100000	59.519945
4.400000	1.300000	70.341753
4.400000	1.500000	81.163561
4.400000	1.700000	91.985369
4.400000	1.900000	102.807177
4.400000	2.100000	113.628985
4.400000	2.300000	124.450793
4.400000	2.500000	135.272602
4.400000	2.700000	146.094410
4.400000	2.900000	156.916218
4.400000	3.100000	167.738026
4.400000	3.300000	178.559834
4.400000	3.500000	189.381642
4.400000	3.700000	200.203450
4.400000	3.900000	211.025259
4.400000	4.100000	221.847067
4.400000	4.300000	232.668875
4.400000	4.500000	243.490683
4.400000	4.700000	254.312491
4.400000	4.900000	265.134299
4.400000	5.100000	275.956107
4.400000	5.300000	286.777915
4.400000	5.500000	297.599724
4.400000	5.700000	308.421532
4.400000	5.900000	319.243340
4.400000	6.100000	330.065148
4.400000	6.300000	340.886956
4.400000	6.500000	351.708764
4.400000	6.700000	362.530572
4.400000	6.900000	373.352380
4.400000	7.100000	384.174189
4.400000	7.300000	394.995997
4.400000	7.500000	405.817805
4.400000	7.700000	416.639613
4.400000	7.900000	427.461421
4.600000	0.500000	28.284271
4.600000	0.700000	39.597980
4.600000	0.900000	50.911688
4.600000	1.100000	62.225397
4.600000	1.300000	73.539105
4.600000	1.500000	84.852814
4.600000	1.700000	96.166522
4.600000	1.900000	107.480231
4.600000	2.100000	118.793939
4.600000	2.300000	130.107648
4.600000	2.500000	141.421356
4.600000	2.700000	152.735065
4.600000	2.900000	164.048773
4.600000	3.100000	175.362482
4.600000	3.300000	186.676190
4.600000	3.500000	197.989899
4.600000	3.700000	209.303607
4.600000	3.900000	220.617316
4.600000	4.100000	231.931024
4.600000	4.300000	243.244733
4.600000	4.500000	254.558441
4.600000	4.700000	265.872150
4.600000	4.900000	277.185858
4.600000	5.100000	288.499567
4.600000	5.300000	299.813275
4.600000	5.500000	311.126984
4.600000	5.700000	322.440692
4.600000	5.900000	333.754401
4.600000	6.100000	345.068109
4.600000	6.300000	356.381818
4.600000	6.500000	367.695526
4.600000	6.700000	379.009235
4.600000	6.900000	390.322943
4.600000	7.100000	401.636652
4.600000	7.300000	412.950360
4.600000	7.500000	424.264069
4.600000	7.700000	435.577777
4.600000	7.900000	446.891486
4.800000	0.500000	29.514022
4.800000	0.700000	41.319631
4.800000	0.900000	53.125240
4.800000	1.100000	64.930849
4.800000	1.300000	76.736458
4.800000	1.500000	88.542067
4.800000	1.700000	100.347675
4.800000	1.900000	112.153284
4.800000	2.100000	123.958893
4.800000	2.300000	135.764502
4.800000	2.500000	147.570111
4.800000	2.700000	159.375720
4.800000	2.900000	171.181329
4.800000	3.100000	182.986937
4.800000	3.300000	194.792546
